CNN Model Loaded from model/cnn_model.pth
Game 1000/5000 | Score: 920 | Lines: 14 | Avg Score: 622.0 | Epsilon: 0.010 | Loss: 11266.2405
CNN Model saved successfully!
Game 1010/5000 | Score: 280 | Lines: 7 | Avg Score: 360.0 | Epsilon: 0.010 | Loss: 6696.0011
Game 1020/5000 | Score: 420 | Lines: 10 | Avg Score: 324.0 | Epsilon: 0.010 | Loss: 5201.6762
Game 1030/5000 | Score: 120 | Lines: 3 | Avg Score: 360.0 | Epsilon: 0.010 | Loss: 1839.2421
Game 1040/5000 | Score: 600 | Lines: 10 | Avg Score: 306.0 | Epsilon: 0.010 | Loss: 9947.1220
Game 1050/5000 | Score: 200 | Lines: 5 | Avg Score: 426.0 | Epsilon: 0.010 | Loss: 1637.4821
Game 1060/5000 | Score: 260 | Lines: 6 | Avg Score: 290.0 | Epsilon: 0.010 | Loss: 1682.9795
Game 1070/5000 | Score: 300 | Lines: 7 | Avg Score: 442.0 | Epsilon: 0.010 | Loss: 8027.4185
Game 1080/5000 | Score: 220 | Lines: 5 | Avg Score: 340.0 | Epsilon: 0.010 | Loss: 14299.7150
Game 1090/5000 | Score: 380 | Lines: 9 | Avg Score: 304.0 | Epsilon: 0.010 | Loss: 6487.2832
Game 1100/5000 | Score: 340 | Lines: 8 | Avg Score: 372.0 | Epsilon: 0.010 | Loss: 10733.7229
CNN Model saved successfully!
Game 1110/5000 | Score: 400 | Lines: 9 | Avg Score: 360.0 | Epsilon: 0.010 | Loss: 5948.5344
Game 1120/5000 | Score: 0 | Lines: 0 | Avg Score: 64.0 | Epsilon: 0.010 | Loss: 20378539.4231
Game 1130/5000 | Score: 0 | Lines: 0 | Avg Score: 28.0 | Epsilon: 0.010 | Loss: 359196187.8121
Game 1140/5000 | Score: 0 | Lines: 0 | Avg Score: 24.0 | Epsilon: 0.010 | Loss: 1748151.5950
Game 1150/5000 | Score: 0 | Lines: 0 | Avg Score: 24.0 | Epsilon: 0.010 | Loss: 799726.6488
Game 1160/5000 | Score: 40 | Lines: 1 | Avg Score: 16.0 | Epsilon: 0.010 | Loss: 604239.5551
Game 1170/5000 | Score: 0 | Lines: 0 | Avg Score: 32.0 | Epsilon: 0.010 | Loss: 369594.1954
Game 1180/5000 | Score: 80 | Lines: 2 | Avg Score: 36.0 | Epsilon: 0.010 | Loss: 55356948.1141
Game 1190/5000 | Score: 0 | Lines: 0 | Avg Score: 20.0 | Epsilon: 0.010 | Loss: 294189.5337
Game 1200/5000 | Score: 140 | Lines: 3 | Avg Score: 70.0 | Epsilon: 0.010 | Loss: 32179038.5420
CNN Model saved successfully!
Game 1210/5000 | Score: 300 | Lines: 7 | Avg Score: 88.0 | Epsilon: 0.010 | Loss: 24051480.0430
Game 1220/5000 | Score: 40 | Lines: 1 | Avg Score: 52.0 | Epsilon: 0.010 | Loss: 15284210.6524
Game 1230/5000 | Score: 0 | Lines: 0 | Avg Score: 44.0 | Epsilon: 0.010 | Loss: 9433728.8509
Game 1240/5000 | Score: 0 | Lines: 0 | Avg Score: 94.0 | Epsilon: 0.010 | Loss: 6101958.5175
Game 1250/5000 | Score: 80 | Lines: 2 | Avg Score: 148.0 | Epsilon: 0.010 | Loss: 4646821.8865
Game 1260/5000 | Score: 120 | Lines: 3 | Avg Score: 166.0 | Epsilon: 0.010 | Loss: 28822.3845
Game 1270/5000 | Score: 40 | Lines: 1 | Avg Score: 112.0 | Epsilon: 0.010 | Loss: 2522015.6443
Game 1280/5000 | Score: 40 | Lines: 1 | Avg Score: 100.0 | Epsilon: 0.010 | Loss: 2141609.6555
Game 1290/5000 | Score: 0 | Lines: 0 | Avg Score: 98.0 | Epsilon: 0.010 | Loss: 13786.6050
Game 1300/5000 | Score: 80 | Lines: 2 | Avg Score: 92.0 | Epsilon: 0.010 | Loss: 1529280.7441
CNN Model saved successfully!
Game 1310/5000 | Score: 100 | Lines: 2 | Avg Score: 296.0 | Epsilon: 0.010 | Loss: 647358.8007
Game 1320/5000 | Score: 0 | Lines: 0 | Avg Score: 104.0 | Epsilon: 0.010 | Loss: 427971.2573
Game 1330/5000 | Score: 160 | Lines: 4 | Avg Score: 132.0 | Epsilon: 0.010 | Loss: 8275.2321
Game 1340/5000 | Score: 120 | Lines: 3 | Avg Score: 126.0 | Epsilon: 0.010 | Loss: 13078.3884
Game 1350/5000 | Score: 180 | Lines: 4 | Avg Score: 172.0 | Epsilon: 0.010 | Loss: 210890.0376
Game 1360/5000 | Score: 320 | Lines: 7 | Avg Score: 122.0 | Epsilon: 0.010 | Loss: 15520.7826
Game 1370/5000 | Score: 160 | Lines: 4 | Avg Score: 168.0 | Epsilon: 0.010 | Loss: 10043.3631
Game 1380/5000 | Score: 40 | Lines: 1 | Avg Score: 194.0 | Epsilon: 0.010 | Loss: 12528.2313
Game 1390/5000 | Score: 300 | Lines: 7 | Avg Score: 184.0 | Epsilon: 0.010 | Loss: 14339.3312
Game 1400/5000 | Score: 200 | Lines: 5 | Avg Score: 288.0 | Epsilon: 0.010 | Loss: 16704.7453
CNN Model saved successfully!
Game 1410/5000 | Score: 80 | Lines: 2 | Avg Score: 320.0 | Epsilon: 0.010 | Loss: 6849.6912
Game 1420/5000 | Score: 600 | Lines: 12 | Avg Score: 262.0 | Epsilon: 0.010 | Loss: 6846.1336
Game 1430/5000 | Score: 80 | Lines: 2 | Avg Score: 292.0 | Epsilon: 0.010 | Loss: 6599.5457
Game 1440/5000 | Score: 200 | Lines: 5 | Avg Score: 168.0 | Epsilon: 0.010 | Loss: 20862.8252
Game 1450/5000 | Score: 240 | Lines: 6 | Avg Score: 214.0 | Epsilon: 0.010 | Loss: 3658.1524
Game 1460/5000 | Score: 120 | Lines: 3 | Avg Score: 294.0 | Epsilon: 0.010 | Loss: 5707.1689
Game 1470/5000 | Score: 240 | Lines: 6 | Avg Score: 274.0 | Epsilon: 0.010 | Loss: 2942.1283
Game 1480/5000 | Score: 40 | Lines: 1 | Avg Score: 276.0 | Epsilon: 0.010 | Loss: 12068.4212
Game 1490/5000 | Score: 720 | Lines: 13 | Avg Score: 282.0 | Epsilon: 0.010 | Loss: 12270.0166
Game 1500/5000 | Score: 220 | Lines: 5 | Avg Score: 248.0 | Epsilon: 0.010 | Loss: 1822.9434
CNN Model saved successfully!
Game 1510/5000 | Score: 180 | Lines: 4 | Avg Score: 138.0 | Epsilon: 0.010 | Loss: 4135.9419
Game 1520/5000 | Score: 460 | Lines: 7 | Avg Score: 224.0 | Epsilon: 0.010 | Loss: 4187.3372
Game 1530/5000 | Score: 400 | Lines: 9 | Avg Score: 204.0 | Epsilon: 0.010 | Loss: 3815.3412
Game 1540/5000 | Score: 340 | Lines: 8 | Avg Score: 306.0 | Epsilon: 0.010 | Loss: 2966.2494
Game 1550/5000 | Score: 120 | Lines: 3 | Avg Score: 260.0 | Epsilon: 0.010 | Loss: 2231.9690
Traceback (most recent call last):
  File "C:\Users\2016s\Desktop\tetris AI new\Tetris-A.I\Version1\cnn.py", line 287, in <module>
    train_cnn(slow_drop=slow_drop, games=args.games)
  File "C:\Users\2016s\Desktop\tetris AI new\Tetris-A.I\Version1\cnn.py", line 225, in train_cnn
    action = agent.get_action(tetris)
  File "C:\Users\2016s\Desktop\tetris AI new\Tetris-A.I\Version1\cnn.py", line 103, in get_action
    value = self.model(board_tensor).item()
  File "C:\Users\2016s\Desktop\tetris AI new\Tetris-A.I\venv\lib\site-packages\torch\nn\modules\module.py", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File "C:\Users\2016s\Desktop\tetris AI new\Tetris-A.I\venv\lib\site-packages\torch\nn\modules\module.py", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File "C:\Users\2016s\Desktop\tetris AI new\Tetris-A.I\Version1\cnn.py", line 31, in forward
    x = F.relu(self.conv2(x))
  File "C:\Users\2016s\Desktop\tetris AI new\Tetris-A.I\venv\lib\site-packages\torch\nn\functional.py", line 1704, in relu
    result = torch.relu(input)
KeyboardInterrupt
